id;description;text_en;text_ar
1;Principal;Investment Account Wooden;Florida
2;Sri Lanka Rupee Hawaii;Fantastic Rubber Tuna Savings Account;online impactful
3;Human Handmade Soft Chips Officer;Licensed;Djibouti Franc bandwidth
4;Multi-tiered;Mobility Investor Money Market Account;Knolls
5;lavender Table;Associate cutting-edge;gold turquoise Marketing
6;plum copy back-end;local area network Pakistan Rupee;Global Towels Tools
7;model;interfaces Boliviano Mvdol;impactful
8;CSS implement pink;orange Cotton Intelligent;embrace Borders
9;Intelligent Plastic Chips;Estonia;pixel Avon
10;Kazakhstan Implemented;24 hour context-sensitive Savings Account;deposit transmitter Shoes
