id;code;text_en;text_ar;clause_type;effective_date;status
1;Home Wooden;Regional Metrics;Clothing;Clause;2021-05-03;Active
2;override Ergonomic;Fish;Gorgeous Zimbabwe interface;Clause;2021-05-03;InActive
3;Utah logistical bypass;purple multi-tasking Wooden;strategize;TermsAndCondition;2021-05-04;InActive
4;Consultant deposit vortals;vertical Delaware;Nebraska Right-sized granular;Clause;2021-05-03;InActive
5;reboot Assistant International;payment Account Gorgeous;calculate Borders;Execlusion;2021-05-03;Active
6;Optimization Plastic;Assimilated deposit;User-centric;Execlusion;2021-05-04;InActive
7;plug-and-play;Virginia Handmade North;Avon Dobra;Execlusion;2021-05-04;InActive
8;system;Oregon;Soap Borders;Clause;2021-05-04;Active
9;Mississippi;metrics Chicken;Interface Bedfordshire;Clause;2021-05-04;Active
10;Fresh bus Agent;Bike leverage Soft;Investor Switzerland;TermsAndCondition;2021-05-04;Active
