id;code;text_en;text_ar;affect_mpl;effective_date;status
1;primary;Re-engineered Generic;SDD Security;enterprise Renminbi Gorgeous;2021-05-03;InActive
2;Loan drive;withdrawal embrace;Forge;connect lime;2021-05-03;InActive
3;primary Cambridgeshire;brand magenta;Koruna e-tailers;Account;2021-05-03;Active
4;Account copy;methodologies Mouse;Representative Borders SMS;Texas Wisconsin;2021-05-04;Active
5;payment;program;cross-platform architecture;synthesize;2021-05-03;InActive
6;interfaces Programmable seize;encoding;Avon;Movies;2021-05-04;Active
7;Hat;Data New;Agent;Steel;2021-05-03;InActive
8;Grocery;Clothing Cloned Berkshire;Bacon applications;Avon Crest;2021-05-04;Active
9;Soap architecture;Generic multi-byte Alabama;Soap Row;Fresh;2021-05-03;InActive
10;quantifying;Account Intranet;SMS interface compress;Darussalam;2021-05-04;Active
