id;name;short_name;description;can_building_class_id
1;rich;optical;Bacon;reboot Outdoors
2;payment homogeneous;Assurance;Configuration killer Forward;Quality Ameliorated
3;cross-platform Granite innovate;task-force;Armenia panel;Home ivory sensor
4;Wooden Metal Park;Facilitator redundant Configuration;Massachusetts payment Baby;Maryland Savings
5;Mandatory;streamline;Kids Soft synergy;AI Incredible incubate
6;Refined;solution solution;FTP brand Gorgeous;Plastic Arab overriding
7;Republic Credit compress;Soft Virginia challenge;Streamlined;help-desk Florida redundant
8;grey interface;Buckinghamshire Hat interfaces;Tools;Metal feed Refined
9;Profit-focused Administrator Borders;harness;Berkshire;Libyan Diverse Industrial
10;bandwidth Uruguay generating;indigo Maryland;Cross-platform;brand back-end green
